barcode,name,initial_price,price
4600104037887,"DIYONIKA DETISKI  DETISKI",24000,28000
4600104037740,"DIYONIKA DETISKI  DETISKI MURSKOY",24000,28000
5059018144546,"TUDEY ATR",115000,135000
5059018292018,"TUDEY ATR KOK",115000,135000
4690302725754,"PORTO JOR",115000,130000
8681982211350,1044,105000,135000
8681982211329,1038,105000,135000
8681982211213,1016,105000,135000
0014842745296,"EKLAT ORIFLAME 50G",165000,175000
6952581790792,"ZELYONI CHAY DOG KREM",15000,25000
42163190,"NIVEYA KREM ",23520,28000
4603586014384,BARS,6250,8000
9000101582383,"PERSIL GEL 2.145",107106,118000
6281031114537,"PERSIL GEL 1L",48000,55000
4690302617158,"MUR MUR ATIR",85000,110000
4690302784751,"MUR MUR ATIR QORA",85000,110000
5059018431042,"INKANDES ",100000,115000
5059018290052,"INKANDES LOTOS",100000,115000
4690302763893,"BIEAUTE KAFE",75000,100000
5059018011572,CHERISH,100000,115000
5059018383624,PERSEFDU,75000,100000
4780027840853,"EKOTAB TARNADO",25000,35000
4780027840839,"EKOTAB 400G",35000,40000
9000100771566,"VER NEL 1440G",42000,48000
9000101416541,"VER NEL 1440G OQ",42000,48000
9000101075113,"VER NEL 910G",31000,38000
9000101595802,"VER NEL 910G KOK",31000,38000
4780025651734,"SAMARA GUSTOY GEL",13000,22000
6260526416561,"DAMESTOS 750G",23000,28000
4602984004584,"SANIFOR ULTRA",24000,28000
4602984001637,"SANIFOR ULTRA GEL",26000,30000
4602984004058,"SANIFOR UNVERSAL",26000,30000
4602984007714,"VC GEL CHISTIN",25732,30000
4602984007677,"CHISTIN UNVERSAL",22624,28000
4602984003235,"CHISTIN SANITARNI",26376,30000
4602984007912,"CHISTIN BLEZNA",27720,32000
4602984015542,"SANITA MANGAL KAZAN",26824,32000
4602984025565,"SANITA ANTINALIYOT",26824,32000
4602984004393,"SANITA ANTI JIR ADNA MINUT",24696,32000
1989985811544,"SANITA  JIROUDALITEL",28500,34000
5900516306823,"BELLA OLVERS",26264,30000
5900516306809,"BELLA OLVERS NACHINOY",26264,30000
4600697030470,"USHASNAYA DETISKI GEL",50820,63000
4600697020396,"USHASNAYA DETISKI GEL ",64848,72000
4600104038006,"MAYA PRLEST KOK",21224,28000
4600104033636,"MAYA PRLEST QIZIL",21224,28000
4600104038020,"MAYA PRLEST GIPOALERGINE",21224,28000
4600104006777,"MAYA PRLEST GIPOALERGINE YASHIL",21224,28000
4602984022250,"BLIS KANDIDSANER",31220,38000
4602984010400,"SANITA UNVERSALNIY",30604,35000
8697713821378,"PEROS OYNA SUV",15988,20000
4780066431999,"BILLUR MEBEL",13000,20000
4780066431067,"BILLUR MEBEL KUXNI",13000,18000
4780066430060,"BILLUR ANTIJIR",16500,22000
4780066431180,"BILLUR ANTIJIR KAZAN",17500,22000
